Project,Total run,Failure,Error,Skipped,Failed,Commit
jackson-dataformat-xml,196,0,0,0,,26087df80a8c11acc295f3c13915dcc83e151817
jackson-dataformat-xml,154,0,0,0,,26489160dd9d5aba67ed324571c27d325049ad14
jackson-dataformat-xml,185,0,0,0,,266c50ef09664b8e680dde4741cddc69142acd30
jackson-dataformat-xml,132,0,0,0,,272d6958bf7df7beb125c4ccbd5be5f99f7c1976
jackson-dataformat-xml,183,0,0,0,,27349ac96672113d275058c32db0fbd852579dcf
jackson-dataformat-xml,197,0,0,0,,2778e1f00bee78976efdc4e522d226e1e0196287
jackson-dataformat-xml,128,0,0,0,,28192ab78ee1f48fe185357d385e91a9e4fff786
jackson-dataformat-xml,137,0,0,0,,28cf99992edb37767d652a1c4d6b2aa0a15a5cd0
jackson-dataformat-xml,201,0,0,0,,28ee8a538f660c16a45a2d60143d9e3cdc1741e3
jackson-dataformat-xml,141,0,0,0,,296169ccf557870bf9f1bbdbd91d00c2de11e399
jackson-dataformat-xml,185,0,0,0,,2a65f5f48107291f9f071aa3c89a5b73874a013d
jackson-dataformat-xml,149,0,0,0,,2ab0ce5178ffbb836ea57a4a558b0ab1a4754ea7
jackson-dataformat-xml,196,0,0,0,,2bc25e43f855f6529ef940b573aa136085709c8c
jackson-dataformat-xml,143,0,0,0,,2c5f6f4e0f7bbcfa566fbc91ee57baf8dd7a371a
jackson-dataformat-xml,197,0,0,0,,2d911fe6fa62d486586ce85acde9bb9794496b67
jackson-dataformat-xml,132,1,9,0,"['TestIndentation.testSimpleMap', 'TextValueTest.testSerializeAsText', 'ListDeserializationTest.testWrappedList', 'ListDeserializationTest.testWrappedListWithGetters', 'RootListHandlingTest.testArraySerialization', 'RootListHandlingTest.testListSerialization', 'TestIndentation.testSimpleStringBean', 'TestIndentation.testEmptyElem', 'TestIndentation.testWithAttr', 'TestIndentation.testSimpleIntBean']",2de36254c53999e77cf9ff7221cea8206f7e0a46
jackson-dataformat-xml,128,0,0,0,,2e58290ee0f8fdde877392878221e5393708393c
jackson-dataformat-xml,143,0,0,0,,3056dfcf5a43f27e43271e1728973e45add6f479
jackson-dataformat-xml,137,0,0,0,,32f9b60809c457b4751dfe045cf19c8387f5a043
jackson-dataformat-xml,155,0,0,0,,3323d08b26cbc5869deaf617b56a54da4581809e
